geom_x_y;Type Mobilier;Libelle Mobilier;Geometry
48.8702805588, 2.33064526008;WCP;Sanisette petit modèle;"{""type"": ""MultiLineString"", ""coordinates"": [[[2.330657536185905, 48.8702780214485], [2.330636420768527, 48.87027439634478]], [[2.330632990246425, 48.87028309903602], [2.330631879011894, 48.87028283242753], [2.330630854764959, 48.87028244316332], [2.330629947630475, 48.87028194311549], [2.330629184733966, 48.87028134658402], [2.330628590473942, 48.87028067263491], [2.330628180797077, 48.870279940963215], [2.330627969468632, 48.87027917351189], [2.330627962347203, 48.870278393662396], [2.330628159429676, 48.87027762479582], [2.330628555396572, 48.87027688984332], [2.33062913756734, 48.87027621074635], [2.330629889171986, 48.870275608546955], [2.33063078689767, 48.87027510095947], [2.330631804023858, 48.87027470362966], [2.330632910286278, 48.87027442815639], [2.330634071604211, 48.87027428254127], [2.33063525376098, 48.870274272087954], [2.330636420768527, 48.87027439634478]], [[2.330654099942755, 48.87028671739548], [2.330632984520791, 48.87028310092415]], [[2.330657529779379, 48.870278018030895], [2.330658640196027, 48.87027828463906], [2.330659665261008, 48.87027867390307], [2.330660572259412, 48.87027917395067], [2.330661334611049, 48.87027977003227], [2.330661929553038, 48.870280444430875], [2.330662338412495, 48.87028117610242], [2.330662549741478, 48.870281943553664], [2.330662556863452, 48.87028272340314], [2.330662359917808, 48.8702834922698], [2.330661964496621, 48.87028422731239], [2.33066138232622, 48.87028490631959], [2.330660630858132, 48.87028550851918], [2.330659733132626, 48.87028601565728], [2.33065871587005, 48.87028641343698], [2.330657609607507, 48.87028668891046], [2.33065644774408, 48.87028683452583], [2.330655265450697, 48.87028684497934], [2.330654098579128, 48.87028672072272]]]}"
48.8700514988, 2.32932006522;WCP;Sanisette petit modèle;"{""type"": ""MultiLineString"", ""coordinates"": [[[2.329332323508449, 48.87004893777219], [2.329311208143011, 48.87004534830446]], [[2.329307804258451, 48.87005405662312], [2.32930668431095, 48.87005379530689], [2.329305649990959, 48.870053409896926], [2.32930473210456, 48.870052911726305], [2.329303960366654, 48.870052316084646], [2.329303356039947, 48.870051641228706], [2.329302939159991, 48.87005090721362], [2.329302722128082, 48.87005013688179], [2.329302710665986, 48.870049352715405], [2.329302906269239, 48.870048579534505], [2.329303301572934, 48.87004784071966], [2.329303885940743, 48.870047158302306], [2.329304641102709, 48.870046553234204], [2.329305544018174, 48.87004604376903], [2.329306567693749, 48.87004564510258], [2.32930768036529, 48.87004537009223], [2.329308848088328, 48.87004522682911], [2.329310036101145, 48.87004521926761], [2.329311208143011, 48.87004534830446]], [[2.329328927532949, 48.87005765139774], [2.329307799215285, 48.87005405284583]], [[2.329332329233349, 48.870048940650264], [2.329333449180947, 48.870049201516636], [2.32933448363737, 48.87004958701624], [2.329335400842415, 48.870050085186605], [2.32933617312595, 48.870050680738146], [2.329336776771429, 48.870051356043504], [2.329337194469782, 48.87005209014845], [2.329337411502234, 48.87005286048022], [2.329337422964949, 48.87005364419696], [2.329337227362213, 48.87005441737793], [2.329336831240991, 48.87005515664247], [2.329336246873539, 48.870055839059994], [2.329335492393422, 48.870056444038404], [2.32933458893279, 48.87005695359371], [2.329333565938868, 48.870057351810836], [2.329332453130883, 48.87005762682141], [2.329331285407565, 48.87005777044448], [2.329330097394524, 48.87005777755659], [2.329328925352244, 48.870057648969556]]]}"
48.8699441287, 2.32868493425;WCG;Sanisette grand modèle;"{""type"": ""MultiLineString"", ""coordinates"": [[[2.32866704106811, 48.86994663360726], [2.328698706615005, 48.869952067940055]], [[2.328671159933034, 48.869936193632256], [2.328702825475364, 48.869941618431625]], [[2.328667046111047, 48.86994663837381], [2.328665703299094, 48.86994632307821], [2.328664462478413, 48.86994585923045], [2.328663363724111, 48.86994526032259], [2.328662438658812, 48.86994454434246], [2.328661716995978, 48.86994373341439], [2.328661219042697, 48.869942852179996], [2.328660960743569, 48.86994192716897], [2.328660949318527, 48.869940986798916], [2.328661186262174, 48.869940059396995], [2.328661664208507, 48.86993917301995], [2.328662367203627, 48.869938355004486], [2.328663275204645, 48.86993762962944], [2.328664360535106, 48.86993701982418], [2.328665589794118, 48.869936543301876], [2.328666925491776, 48.86993621480779], [2.328668327821577, 48.86993604441076], [2.328669753297268, 48.86993603741324], [2.328671159933034, 48.869936193632256]], [[2.328698711659427, 48.869952064073566], [2.328700118295723, 48.86995222038216], [2.328701543771887, 48.869952213294326], [2.328702946102021, 48.869952042896884], [2.328704281799848, 48.86995171440233], [2.328705511058842, 48.8699512378796], [2.328706596389158, 48.8699506276243], [2.328707504389662, 48.86994990278848], [2.328708207384181, 48.86994908477271], [2.328708685329761, 48.869948198395484], [2.328708922272551, 48.86994727099345], [2.328708910846601, 48.8699463306234], [2.328708652546584, 48.86994540552258], [2.328708154592516, 48.86994452392866], [2.328707432247284, 48.86994371336055], [2.328706507999271, 48.86994299747076], [2.328705409108224, 48.8699423984734], [2.328704168287348, 48.8699419341764], [2.328702825475209, 48.869941619330895]]]}"
48.8650327004, 2.34049863334;WCG;Sanisette grand modèle;"{""type"": ""MultiLineString"", ""coordinates"": [[[2.340484649533418, 48.86502490198559], [2.340497558853323, 48.86504473048217]], [[2.34049968388492, 48.86502063873428], [2.340512593209716, 48.865040467229136]], [[2.340484655257884, 48.86502489721928], [2.340484218753164, 48.86502400605282], [2.340484023231971, 48.86502307809925], [2.340484073875772, 48.865022142584735], [2.340484368369126, 48.86502122612783], [2.340484898944559, 48.86502035741556], [2.340485649519885, 48.86501956270712], [2.340486596243359, 48.86501886493461], [2.340487712537093, 48.86501828604108], [2.340488963235729, 48.86501784329352], [2.340490311129062, 48.86501754955259], [2.340491716144283, 48.86501741435176], [2.340493134936879, 48.86501744110944], [2.340494525525151, 48.86501762964702], [2.340495845790699, 48.86501797394058], [2.340497055386818, 48.86501846391943], [2.340498119554925, 48.865019084296925], [2.340499004217728, 48.86501981636918], [2.34049968388492, 48.86502063873428]], [[2.340497564577981, 48.86504472859353], [2.340498239338943, 48.86504555716375], [2.34049912168549, 48.865046295980626], [2.34050018517307, 48.86504692202354], [2.340501396951149, 48.865047417218044], [2.34050272157956, 48.86504776582791], [2.340504117212165, 48.86504795724291], [2.340505541866851, 48.86504798588876], [2.340506952607703, 48.86504785113718], [2.34050830704429, 48.865047556496584], [2.340509562105057, 48.865047111320635], [2.340510681942849, 48.86504652909946], [2.340511631664933, 48.865045827549736], [2.340512381422045, 48.86504502762536], [2.340512909816052, 48.86504415405694], [2.34051320008329, 48.865043233373505], [2.340513244183664, 48.86504229345275], [2.340513039256675, 48.865041362711736], [2.340512593209841, 48.86504046911764]]]}"
48.869532156, 2.32629653541;WCP;Sanisette petit modèle;"{""type"": ""MultiLineString"", ""coordinates"": [[[2.326308781039776, 48.86952955706902], [2.326287624929967, 48.869526038620506]], [[2.326284294432246, 48.86953475881639], [2.326283179555956, 48.869534497920625], [2.326282149495615, 48.86953411437217], [2.326281235329143, 48.869533618515696], [2.326280465134261, 48.86953302627103], [2.326279862217231, 48.869532355266074], [2.326279444022279, 48.86953162501676], [2.326279223358115, 48.8695308584558], [2.326279206899292, 48.86953007806559], [2.326279395322215, 48.869529307317215], [2.326279782760038, 48.86952856995092], [2.326280357620971, 48.86952788808768], [2.326281102724639, 48.869527282049425], [2.326281995438549, 48.86952676972949], [2.3262830090411, 48.86952636722231], [2.326284112449463, 48.86952608657512], [2.326285273627499, 48.86952593569846], [2.326286455768628, 48.86952591962475], [2.326287624929967, 48.869526038620506]], [[2.326305438960097, 48.86953827051987], [2.326284297294361, 48.8695347612447]], [[2.32630877381543, 48.86952955508992], [2.326309889373326, 48.86952981598554], [2.326310918752208, 48.869530199533635], [2.326311832918915, 48.86953069538987], [2.326312603114133, 48.869531287634366], [2.326313206713156, 48.86953195872911], [2.326313625044922, 48.86953268897831], [2.326313845573329, 48.869533455449265], [2.326313862032698, 48.86953423583949], [2.326313672928706, 48.86953500658783], [2.326313285491335, 48.869535743954245], [2.326312710494429, 48.86953642590755], [2.326311965527345, 48.869537031856105], [2.326311072813559, 48.869537544176275], [2.326310059211008, 48.869537946683735], [2.326308955802509, 48.86953822742109], [2.32630779530586, 48.86953837820812], [2.326306612482837, 48.86953839437191], [2.326305443321183, 48.86953827528644]]]}"
48.8589970838, 2.28909315765;WCP;Sanisette petit modèle;"{""type"": ""MultiLineString"", ""coordinates"": [[[2.289105352815454, 48.85899976734474], [2.289091462611411, 48.858988673641534]], [[2.289080957183756, 48.85899440297442], [2.289080283320708, 48.858993757462336], [2.289079788877509, 48.858993044670385], [2.289079490051485, 48.85899228618793], [2.289079395270351, 48.858991504860064], [2.289079508190786, 48.858990724519025], [2.289079823746889, 48.85898996917327], [2.289080334012366, 48.85898926112139], [2.289081022202496, 48.858988622388516], [2.28908186812815, 48.85898807212061], [2.289082846423188, 48.85898762748307], [2.289083926546373, 48.858987301682355], [2.289085076051752, 48.85898710450684], [2.289086260316428, 48.85898704196705], [2.289087442813402, 48.85898711602598], [2.289088587701369, 48.85898732424051], [2.289089660777706, 48.85898766084086], [2.289090628662382, 48.85898811502169], [2.289091462611411, 48.858988673641534]], [[2.289094853252562, 48.85900549137566], [2.289080963040905, 48.85899440630418]], [[2.289105355680716, 48.85899976401865], [2.289106029680978, 48.85900040899107], [2.289106524124716, 48.85900112169298], [2.289106822951117, 48.85900188026527], [2.289106917732704, 48.85900266159314], [2.28910680549411, 48.859003441934476], [2.289106489256459, 48.85900419772967], [2.289105979673073, 48.8590049053323], [2.289105290801599, 48.85900554406504], [2.289104444875909, 48.85900609433314], [2.2891034665807, 48.85900653897084], [2.28910238645679, 48.859006865221396], [2.289101236951023, 48.859007062397076], [2.289100052685887, 48.859007124937015], [2.289098870188854, 48.859007050428566], [2.289097725300389, 48.85900684221415], [2.289096652223672, 48.85900650552395], [2.289095684338496, 48.8590060514331], [2.289094850388693, 48.859005493262934]]]}"
48.8768805535, 2.28478524208;WCP;Sanisette petit modèle;"{""type"": ""MultiLineString"", ""coordinates"": [[[2.284792185588982, 48.87687350188425], [2.284772369514307, 48.876879508832396]], [[2.28477806276988, 48.87688767990045], [2.284772849520025, 48.87688781122881], [2.284769022559288, 48.876885472711386], [2.284768823455599, 48.876882034070704], [2.284772369514307, 48.876879508832396]], [[2.284797889620763, 48.876881670078554], [2.284778059773507, 48.87688767702139]], [[2.284792189953749, 48.87687349999777], [2.284793308875649, 48.87687323594527], [2.28479447973862, 48.87687310419962], [2.284795668727086, 48.876873108612166], [2.284796837803207, 48.87687324907553], [2.284797951796669, 48.876873521257075], [2.28479897813192, 48.87687391668865], [2.284799884100295, 48.87687442384462], [2.284800642996489, 48.87687502688547], [2.284801230843831, 48.87687570817451], [2.284801631168237, 48.87687644621149], [2.284801831723111, 48.87687721850904], [2.284801825033539, 48.876878002671816], [2.284801612080048, 48.87687877388035], [2.284801199431548, 48.87687950866661], [2.28480059992626, 48.87688018563383], [2.284799831038045, 48.87688078320743], [2.284798916780759, 48.87688128377274], [2.284797883892534, 48.876881672054346]]]}"
48.8860015067, 2.30405102981;WCP;Sanisette petit modèle;"{""type"": ""MultiLineString"", ""coordinates"": [[[2.304061890567761, 48.886006045299], [2.304052462441752, 48.88599307540921]], [[2.304040167102642, 48.885996963621636], [2.30403974828003, 48.885996229963226], [2.304039529388048, 48.88599546003228], [2.304039516820974, 48.885994675862804], [2.30403971069829, 48.88599390272443], [2.304040104459307, 48.885993163546665], [2.304040687862228, 48.88599248026883], [2.304041442074721, 48.88599187446796], [2.304042344039568, 48.885991364212764], [2.304043366883, 48.885990965232715], [2.304044479370494, 48.8859906890294], [2.304045647541912, 48.88599054467563], [2.304046835940684, 48.885990535938056], [2.304048008293937, 48.88599066379533], [2.3040491291505, 48.88599092392066], [2.304050165106855, 48.88599130866051], [2.304051083717194, 48.88599180559555], [2.304051857581989, 48.885992400958905], [2.304052462441752, 48.88599307540921]], [[2.304049601633622, 48.88600993585241], [2.304040160556015, 48.8859969655082]], [[2.304061895610628, 48.88600604907741], [2.304062297005742, 48.886006743162675], [2.304062519607981, 48.886007471008696], [2.304062558248549, 48.88600821318969], [2.304062409941222, 48.886008949111435], [2.304062080698693, 48.8860096596212], [2.304061578443623, 48.886010324217835], [2.30406091764212, 48.886010925279805], [2.304060114805125, 48.88601144608542], [2.304059193395811, 48.886011873242296], [2.304058178649398, 48.88601219434783], [2.304057096616701, 48.88601240086648], [2.304055978392123, 48.886012486962], [2.304054853840107, 48.88601245084448], [2.30405375323275, 48.88601229288248], [2.304052706975437, 48.886012018030776], [2.304051743972562, 48.88601163277255], [2.304050890534152, 48.886011148805984], [2.304050168879021, 48.886010578367625], [2.304049600132382, 48.886009937740454]]]}"
48.8905433739, 2.30344619991;WCP;Sanisette petit modèle;"{""type"": ""MultiLineString"", ""coordinates"": [[[2.303448388438525, 48.89053501721579], [2.30343384351377, 48.89054574115004]], [[2.303444011461269, 48.89055173385253], [2.303443145528454, 48.890552270912025], [2.30344215093173, 48.890552699930815], [2.3034410584997, 48.89055300913756], [2.303439901105844, 48.89055318784059], [2.30343871475579, 48.89055323191391], [2.303437534362714, 48.89055313938946], [2.30343639592778, 48.8905529127059], [2.303435335175922, 48.8905525594277], [2.303434383193262, 48.89055209017544], [2.303433569427295, 48.89055151871674], [2.303432918822401, 48.890550862864565], [2.303432450048335, 48.89055014249838], [2.303432178227593, 48.89054937974476], [2.30343211207289, 48.890548596998165], [2.303432252385889, 48.89054781862914], [2.303432596286513, 48.890547068467576], [2.303433131894966, 48.8905463689018], [2.30343384351377, 48.89054574115004]], [[2.303458557749936, 48.8905410090181], [2.303444012825318, 48.8905517334033]], [[2.303448384214163, 48.8905350124484], [2.303449201443172, 48.89053450163322], [2.303450135207152, 48.89053408644519], [2.303451159587301, 48.89053377820746], [2.303452247439529, 48.89053358518533], [2.303453367939541, 48.89053351285522], [2.303454491901794, 48.89053356336682], [2.30345558755214, 48.89053373518191], [2.303456625164308, 48.89053402343568], [2.303457577332216, 48.89053442056611], [2.303458417061226, 48.89053491559413], [2.303459121449941, 48.89053549457422], [2.303459672097802, 48.89053614284281], [2.303460053334476, 48.890536841690405], [2.303460254808532, 48.890537571959435], [2.303460271759817, 48.8905383145839], [2.303460102565765, 48.89053904905992], [2.303459752149834, 48.89053975479557], [2.303459231025792, 48.890540412729415], [2.303458552024478, 48.8905410056891]]]}"
48.8990104817, 2.33768312993;WCP;Sanisette petit modèle;"{""type"": ""MultiLineString"", ""coordinates"": [[[2.337682848200109, 48.899002002118145], [2.337671690997536, 48.89901436698302]], [[2.337683414816186, 48.89901896311938], [2.337679233841556, 48.89902102292041], [2.337674068462313, 48.899020530139474], [2.337670943433471, 48.89901777352107], [2.337671690997536, 48.89901436698302]], [[2.337694564924194, 48.89900659726418], [2.337683421363259, 48.89901896222009]], [[2.337682846017731, 48.89900200013975], [2.337687026308622, 48.8989999403386], [2.337692191822252, 48.899000433208876], [2.337695316714781, 48.89900318973677], [2.337694569152505, 48.89900659627498]]]}"
48.8977604013, 2.34203926375;WCP;Sanisette petit modèle;"{""type"": ""MultiLineString"", ""coordinates"": [[[2.342050174608748, 48.89775590446276], [2.342028351558451, 48.897755905382525]], [[2.342028352428366, 48.89776489810995], [2.342027168111881, 48.89776482981502], [2.342026020063211, 48.89776462689743], [2.342024942927105, 48.897764296010315], [2.342023968620709, 48.89776384668467], [2.342023128379557, 48.89776329222838], [2.342022446619912, 48.89776265044607], [2.342021943939058, 48.89776193977192], [2.342021636024501, 48.897761182867], [2.342021532289572, 48.897760402032816], [2.342021635873643, 48.89775962118994], [2.342021943641944, 48.89775886425914], [2.342022446185488, 48.89775815408234], [2.342023127820983, 48.8977575117032], [2.3420239679549, 48.89775695762599], [2.342024942174284, 48.89775650821846], [2.342026019246175, 48.897756176701236], [2.34202716725539, 48.89775597368713], [2.342028351558451, 48.897755905382525]], [[2.342050175482614, 48.89776489719019], [2.342028352428366, 48.89776489810995]], [[2.342050174608748, 48.89775590446276], [2.342051358925044, 48.897755972667525], [2.342052507110012, 48.89775617558486], [2.342053584928147, 48.89775650701125], [2.342054558552697, 48.89775695633667], [2.342055399476019, 48.89775751034307], [2.342056081236072, 48.89775815266475], [2.342056583917321, 48.89775886279917], [2.34205689115043, 48.897759619704054], [2.342056994749516, 48.897760400538196], [2.342056891302397, 48.897761181381085], [2.34205658421658, 48.897761938311945], [2.34205608167354, 48.897762649028465], [2.342055400038348, 48.897763290868255], [2.342054559222748, 48.89776384539539], [2.342053585685458, 48.89776429480312], [2.342052507931554, 48.89776462578106], [2.342051359785847, 48.89776482879542], [2.342050175482614, 48.89776489719019]]]}"
48.8934520461, 2.33680219451;WCH2;Sanisette handicapée;"{""type"": ""MultiLineString"", ""coordinates"": [[[2.336799572162518, 48.893462212352624], [2.336816687637599, 48.893456726491436]], [[2.336788675483987, 48.893447437081235], [2.336805804729781, 48.893441951761304]], [[2.336799564934236, 48.89346221478064], [2.336790047766519, 48.89346258965178], [2.33678291514667, 48.89345841744884], [2.336782345124403, 48.89345214169214], [2.336788675483987, 48.893447437081235]], [[2.336805799001744, 48.893441949872795], [2.336815316710914, 48.89344157544997], [2.336822449467449, 48.893445747560975], [2.336823019358327, 48.89345202340738], [2.336816689137796, 48.89345672748066]], [[2.336787788693157, 48.89346685246566], [2.336789629859245, 48.89346625877281]], [[2.33679024330842, 48.89346607019765], [2.336790856757669, 48.89346587244991]], [[2.33679147102521, 48.893465674252525], [2.336793312191206, 48.893465081099166]], [[2.336793925640434, 48.89346488290177], [2.336794539089575, 48.89346469432657]], [[2.336795153220701, 48.89346449657879], [2.336796994386613, 48.893463902975746]], [[2.336797607835809, 48.89346370522796], [2.336798222103296, 48.893463507030546]], [[2.336798835552404, 48.89346331845532], [2.336800676581847, 48.893462724762294]], [[2.336801276392785, 48.89346252710436], [2.336801890523858, 48.89346232935656]], [[2.336802503972941, 48.89346214024175], [2.336804345138678, 48.89346154663859]], [[2.336804959269726, 48.89346134889078], [2.336805572855241, 48.89346115123288]], [[2.336806186304368, 48.89346095348503], [2.336808027469942, 48.893460368964476]], [[2.336808641600963, 48.893460170766986], [2.336809255050067, 48.89345997301915]], [[2.336809868499164, 48.893459775361215], [2.336811709664651, 48.893459190750654]], [[2.33681232379564, 48.89345899309273], [2.3368129373811, 48.89345879489522]], [[2.336813550830169, 48.89345859714736], [2.336815391859186, 48.89345801262666]], [[2.336816006126529, 48.89345781487878], [2.336816619575573, 48.89345761722082]], [[2.336817233706527, 48.89345741902329], [2.336819074871909, 48.89345682586953]], [[2.336819688320859, 48.89345663675463], [2.336820301906257, 48.89345643900673]], [[2.336820916037178, 48.89345624134875], [2.336822743427868, 48.893455647745256]], [[2.336823356876859, 48.89345544999731], [2.336823588593712, 48.893455027339954]], [[2.336823807354245, 48.89345460468252], [2.336824475228386, 48.8934533276277]], [[2.336824706945219, 48.89345290497032], [2.336824925705733, 48.89345248231289]], [[2.336825143648023, 48.89345205066275], [2.336825812203936, 48.893450782690564]], [[2.336826044057199, 48.893450350950545], [2.336826261999397, 48.89344992829312]], [[2.336826521265914, 48.893449442596825], [2.336825621016434, 48.89344822857554]], [[2.336825321115124, 48.89344782408163], [2.336825020668295, 48.893447419138084]], [[2.336824734541601, 48.893447014644224], [2.336823834292209, 48.89344580062293]], [[2.336823534390855, 48.89344540521168], [2.336823234489585, 48.89344500017818]], [[2.336822934042785, 48.893444595684244], [2.336822048249995, 48.893443381663]], [[2.336821747666838, 48.89344297671945], [2.336821447765591, 48.89344257222554]], [[2.336821147864352, 48.893442167641695], [2.336820261389737, 48.89344095371032]], [[2.336819961488521, 48.89344054867685], [2.336819661041776, 48.893440144182925]], [[2.336819361140564, 48.89343973968899], [2.336818474666036, 48.89343852566771]], [[2.336818174764849, 48.89343812072414], [2.336817874863661, 48.89343771623021]], [[2.33681757441695, 48.89343731173628], [2.336815733252273, 48.8934379048001]], [[2.336815119803465, 48.89343810299761], [2.336814506218348, 48.89343829166284]], [[2.336812050922854, 48.89343908301404], [2.336813892087622, 48.89343848941071]], [[2.33681143747402, 48.89343928067197], [2.336810823343343, 48.89343946978682]], [[2.336808368729644, 48.89344026113793], [2.336810209894499, 48.893439667534665]], [[2.33680775528078, 48.893440458885784], [2.336807154788223, 48.893440656633665]], [[2.336804700174483, 48.89344143881212], [2.336806541339423, 48.89344084574847]], [[2.336804086043676, 48.89344163700957], [2.336803472594779, 48.8934418347574]], [[2.336801017980922, 48.89344261702569], [2.336802859145876, 48.893442032505206]], [[2.336800403713707, 48.893442814683574], [2.336799790264778, 48.89344301288102]], [[2.336797335650804, 48.893443795149224], [2.336799176815846, 48.89344321062882]], [[2.336796721519943, 48.89344399289701], [2.336796108070988, 48.8934441906448]], [[2.336793652774983, 48.893444973362584], [2.336795494622025, 48.893444388752286]], [[2.336793039189623, 48.89344517102041], [2.336792425740638, 48.893445368768184]], [[2.336789970444442, 48.89344616011889], [2.336791811609737, 48.89344556651594]], [[2.336789356995508, 48.893446349233635], [2.336788743546495, 48.893446546891425]], [[2.336786288250184, 48.89344733824206], [2.336788129279183, 48.89344674463918]], [[2.336785688439449, 48.89344752690721], [2.336785074308491, 48.893447725104565]], [[2.336782619693973, 48.89344851645512], [2.336784460859444, 48.89344792276235]], [[2.336782006244906, 48.8934487141129], [2.336781391977621, 48.89344890277795]], [[2.336778937499368, 48.89344969412842], [2.336780778528539, 48.89344910097528]], [[2.336778323913885, 48.89344989232577], [2.336777709782875, 48.89345008998351]], [[2.336775868617325, 48.89345067459352], [2.33677709633385, 48.89345027864853]], [[2.336782428388081, 48.89345957750875], [2.336783314862183, 48.89346078244766]], [[2.336782128487059, 48.893459172565095], [2.336781828722421, 48.89345876807106]], [[2.336780642347471, 48.893457149555466], [2.336781528821405, 48.89345836348712]], [[2.336780341764567, 48.893456744521856], [2.336780041863575, 48.893456340027825]], [[2.336778855488745, 48.89345472106258], [2.336779742098975, 48.893455935084184]], [[2.336778555724159, 48.893454316568544], [2.336778255141287, 48.89345391207451]], [[2.336777054991966, 48.89345229301924], [2.336777955240333, 48.89345350704091]], [[2.336776768865634, 48.893451888525256], [2.336776469101084, 48.893451484031225]], [[2.336776168518247, 48.89345107908755], [2.336775868617325, 48.89345067459352]], [[2.336786001970111, 48.893464424422525], [2.336786902218918, 48.89346563844412]], [[2.336785702069026, 48.893464019928516], [2.336785401486041, 48.89346361498485]], [[2.336784215110858, 48.893461996469284], [2.33678510172135, 48.89346321040093]], [[2.336783915346186, 48.89346159197528], [2.33678361544514, 48.89346118694169]], [[2.336787488110133, 48.89346644788173], [2.336787188345411, 48.89346604293809]]]}"
